id,q_id,method,retrieve_text,score,source
11,4,滑動視窗,長子誕生，曾下令在伊朗各大城市上空空投玫瑰花瓣。在巴勒維王朝末年，伊朗國內同樣苦於貧富差距極端化、民生經濟崩潰、政府暴力鎮壓異議示威，國王委以大權卻極為貪婪與殘酷的祕密警察單位「薩瓦克」（Savak），更曾是伊朗人民恨之入骨的暴政象徵。 但巴勒維王朝的覆滅，已經是47年前的往事。對於國民年齡中位數只有34歲、6成人口都在40歲以下的現代伊朗而言，舊王朝的威權暴政已是上一代的陌生歷史，但對伊朗伊斯蘭共和國的失望與憤怒卻還是現實裡的日常進行式。因此，當伊朗街頭響起「讓巴勒維王朝回來統治我們」、「國王萬歲！」之際，這些口號反映的其實不是對君主統治的懷念與擁戴，而更像是一種情緒性的宣洩──一種對1979年革命與伊朗伊斯蘭共和國的全面否定與挑釁。 Q4：川普向伊朗示威者喊話「救兵快來了」，是否可能逆轉抗爭局勢？ A：在伊朗政府全面切斷網路並開始武力鎮壓的同時，國際社會也非常關注美國總統川普的下一步行動。這一方面是因為川普政府一直視伊朗政府為全球最大的反美恐怖主義支持者，在2025年6月美軍轟炸伊朗核設施的行動之後，華府要求德黑蘭放棄發展核武的核談判也一直沒進展，這都讓川普非常不耐煩。另一方面，則,0.0,data_01.txt
12,4,語意切塊,伊朗政權一向以善於討價還價、立場反覆著稱，美伊之間出現意外「大和解」的可能性，仍然相當不明朗。！？；於是，2026年的這場全國性抗爭，究竟會成為迫使伊朗走向改革與有限開放的契機？；抑或只是下一波更激烈暴力衝突的起點？；在抗爭群眾的憤怒哭喊聲中、以及因鎮壓衝突而燃燒的城市夜色裡，伊朗人仍在混亂的現實之中，試圖找到能改變歷史的關鍵答案。！？；,0.0,data_01.txt
13,5,固定大小,夠能力去解析，才能拼出可能是一隻大象，這些都需要透過不斷地訓練，甚至與科研單位共同合作才能做到，「目前我們軍方對於這方面仍是比較保守，積極度是比較不夠的。」 曾國欣強調，很多人質疑為什麼需要花大錢自製遙測星系？就是要提高衛星再訪的頻率，推疊更多影像，能分析與知道的東西會愈多。他說，中大遙測中心已經做好接收的準備，就等「福衛八號」第一顆「齊柏林衛星」傳回影像。,0.0,data_05.txt
14,5,滑動視窗,要演訓地點，從溫約瑟所製作的地圖中可見，使用公開免費圖資就拍到正在進行的兩棲演訓，兩棲登陸車輛後面激起的白色浪花都看得到，「解析度不足情況下都可以看到，更何況是我國自製的衛星，肯定能做到拍到更仔細的影像。」 林穎佑進一步說明，「福衛八號」陸續發射後自主遙測衛星可組成星系，每天可以經過台灣周邊3次，在白天可以拍照的時間裡面，幾小時就通過一次，只要長期固定拍攝，就能累積足夠的研析資料，提供給軍方情蒐人員，或是軍方人員主動與太空中心合作；未來如果技術更加精進，根據報載國科會主委吳誠文說到希望從現有解析度1公尺挑戰0.7公尺、甚至0.5公尺邁進，能做的分析可以更精細，例如從兩棲登陸車後方激起的白色浪花，可以判斷速度有多快，甚至針對整個演訓的編隊組成研判使用的戰術。林穎佑強調，雖然只是一張照片，但想像如果將同一個地點的照片，依據時間先後次序堆疊，這地方白天的一舉一動都可以一目了然，而且是細緻的研析軍事動作與戰術戰法。 2031年台灣將完成自主遙測衛星星系布建 「福衛八號」是台灣第一個自製的衛星星系，計畫總共要研發6顆原始解析度1公尺的光學遙測衛星，以及2顆原始解析度小於1公尺的超高解析度光學遙測,0.0,data_05.txt
15,5,語意切塊,伊朗政權一向以善於討價還價、立場反覆著稱，美伊之間出現意外「大和解」的可能性，仍然相當不明朗。！？；於是，2026年的這場全國性抗爭，究竟會成為迫使伊朗走向改革與有限開放的契機？；抑或只是下一波更激烈暴力衝突的起點？；在抗爭群眾的憤怒哭喊聲中、以及因鎮壓衝突而燃燒的城市夜色裡，伊朗人仍在混亂的現實之中，試圖找到能改變歷史的關鍵答案。！？；,0.0,data_01.txt
16,6,固定大小,夠能力去解析，才能拼出可能是一隻大象，這些都需要透過不斷地訓練，甚至與科研單位共同合作才能做到，「目前我們軍方對於這方面仍是比較保守，積極度是比較不夠的。」 曾國欣強調，很多人質疑為什麼需要花大錢自製遙測星系？就是要提高衛星再訪的頻率，推疊更多影像，能分析與知道的東西會愈多。他說，中大遙測中心已經做好接收的準備，就等「福衛八號」第一顆「齊柏林衛星」傳回影像。,0.0,data_05.txt
17,6,滑動視窗,，計畫總共要研發6顆原始解析度1公尺的光學遙測衛星，以及2顆原始解析度小於1公尺的超高解析度光學遙測衛星，2025年11月發射第一顆後，預計每年發射至少一顆，至2031年完成6顆衛星的星系布建。解析度方面，前2顆是解析度1公尺，後面4顆將朝0.7公尺努力，2顆超高解析度則是朝0.5公尺挑戰。 完成衛星星系後，讓每天可以通過台灣上方的衛星次數變多。「福衛五號」目前只能每兩天通過台灣1次，如果「福衛八號」星系完成，每天可以通過台灣3次，再訪率提高，可以拍到台灣或其他區域的機會就增加。 溫約瑟打開他整理的「解放軍基地與設施地圖」指出，目前所知解放軍兩棲登陸演訓的地點只有9個，光憑著中國官媒影像與免費遙測影像就能比對出來，如果有更精細的影像，肯定能做到更多軍情研判。 解放軍也知道台灣有衛星，難道不會盡量掩蔽嗎？林穎佑解釋，掩蔽只是一時的，出動訓練就會見光，除非是偷襲才會選在晚上，平時演訓為了確保安全還是會以白天、且風平浪靜的時候為主，避免訓練過程出現變數或意外；意即解放軍平日雖可透過掩體將軍事裝備隱藏，但訓練過程就沒辦法，這也是為什麼美國或中國這麼重視遙測衛星的原因，這些功能在軍事上無可取代。,0.0,data_05.txt
18,6,語意切塊,伊朗政權一向以善於討價還價、立場反覆著稱，美伊之間出現意外「大和解」的可能性，仍然相當不明朗。！？；於是，2026年的這場全國性抗爭，究竟會成為迫使伊朗走向改革與有限開放的契機？；抑或只是下一波更激烈暴力衝突的起點？；在抗爭群眾的憤怒哭喊聲中、以及因鎮壓衝突而燃燒的城市夜色裡，伊朗人仍在混亂的現實之中，試圖找到能改變歷史的關鍵答案。！？；,0.0,data_01.txt
19,7,固定大小,夠能力去解析，才能拼出可能是一隻大象，這些都需要透過不斷地訓練，甚至與科研單位共同合作才能做到，「目前我們軍方對於這方面仍是比較保守，積極度是比較不夠的。」 曾國欣強調，很多人質疑為什麼需要花大錢自製遙測星系？就是要提高衛星再訪的頻率，推疊更多影像，能分析與知道的東西會愈多。他說，中大遙測中心已經做好接收的準備，就等「福衛八號」第一顆「齊柏林衛星」傳回影像。,0.0,data_05.txt
20,7,滑動視窗,"、國際合作、學術研究，其中名列第三項的「國家安全」是「發展太空科技用於情報搜集、地理監視和通訊安全，從而增強台灣的防衛能力和區域穩定。同時，亦有助於提升我國對抗網路攻擊和其他非傳統安全威脅」，說明了台灣投入經費研發與製造遙測衛星，其中一項很少被關注、只能做不能說的任務。 精細影像堆疊，OSINT可解析軍事動作與戰術 最被大眾熟知與常被使用的遙測影像是Google Earth，彙整多家遙測影像的虛擬地球，便於使用者操作，遙測影像藉由資訊科技的進步，變成人人可及的資訊。現年26歲、就讀台灣師範大學東亞學系碩士班的溫約瑟，22歲時靠著善用這些公開資訊製作出「解放軍基地與設施地圖」一夕爆紅，他所使用的衛星遙測影像就包括Google Earth、歐盟哥白尼（Copernicus）的哨兵（Sentinel）衛星、微軟Bing Maps與Apple Maps等，加上查證所完成──這樣的技術稱為公開來源情報（Open Source Intelligence, OSINT），美國國家情報總監（Director of National Intelligence, DNI）定義為「專門從公開或商業可用資訊中",0.0,data_05.txt
21,7,語意切塊,伊朗政權一向以善於討價還價、立場反覆著稱，美伊之間出現意外「大和解」的可能性，仍然相當不明朗。！？；於是，2026年的這場全國性抗爭，究竟會成為迫使伊朗走向改革與有限開放的契機？；抑或只是下一波更激烈暴力衝突的起點？；在抗爭群眾的憤怒哭喊聲中、以及因鎮壓衝突而燃燒的城市夜色裡，伊朗人仍在混亂的現實之中，試圖找到能改變歷史的關鍵答案。！？；,0.0,data_01.txt
22,8,固定大小,夠能力去解析，才能拼出可能是一隻大象，這些都需要透過不斷地訓練，甚至與科研單位共同合作才能做到，「目前我們軍方對於這方面仍是比較保守，積極度是比較不夠的。」 曾國欣強調，很多人質疑為什麼需要花大錢自製遙測星系？就是要提高衛星再訪的頻率，推疊更多影像，能分析與知道的東西會愈多。他說，中大遙測中心已經做好接收的準備，就等「福衛八號」第一顆「齊柏林衛星」傳回影像。,0.0,data_05.txt
23,8,滑動視窗,"、國際合作、學術研究，其中名列第三項的「國家安全」是「發展太空科技用於情報搜集、地理監視和通訊安全，從而增強台灣的防衛能力和區域穩定。同時，亦有助於提升我國對抗網路攻擊和其他非傳統安全威脅」，說明了台灣投入經費研發與製造遙測衛星，其中一項很少被關注、只能做不能說的任務。 精細影像堆疊，OSINT可解析軍事動作與戰術 最被大眾熟知與常被使用的遙測影像是Google Earth，彙整多家遙測影像的虛擬地球，便於使用者操作，遙測影像藉由資訊科技的進步，變成人人可及的資訊。現年26歲、就讀台灣師範大學東亞學系碩士班的溫約瑟，22歲時靠著善用這些公開資訊製作出「解放軍基地與設施地圖」一夕爆紅，他所使用的衛星遙測影像就包括Google Earth、歐盟哥白尼（Copernicus）的哨兵（Sentinel）衛星、微軟Bing Maps與Apple Maps等，加上查證所完成──這樣的技術稱為公開來源情報（Open Source Intelligence, OSINT），美國國家情報總監（Director of National Intelligence, DNI）定義為「專門從公開或商業可用資訊中",0.0,data_05.txt
24,8,語意切塊,伊朗政權一向以善於討價還價、立場反覆著稱，美伊之間出現意外「大和解」的可能性，仍然相當不明朗。！？；於是，2026年的這場全國性抗爭，究竟會成為迫使伊朗走向改革與有限開放的契機？；抑或只是下一波更激烈暴力衝突的起點？；在抗爭群眾的憤怒哭喊聲中、以及因鎮壓衝突而燃燒的城市夜色裡，伊朗人仍在混亂的現實之中，試圖找到能改變歷史的關鍵答案。！？；,0.0,data_01.txt
25,9,固定大小,夠能力去解析，才能拼出可能是一隻大象，這些都需要透過不斷地訓練，甚至與科研單位共同合作才能做到，「目前我們軍方對於這方面仍是比較保守，積極度是比較不夠的。」 曾國欣強調，很多人質疑為什麼需要花大錢自製遙測星系？就是要提高衛星再訪的頻率，推疊更多影像，能分析與知道的東西會愈多。他說，中大遙測中心已經做好接收的準備，就等「福衛八號」第一顆「齊柏林衛星」傳回影像。,0.0,data_05.txt
26,9,滑動視窗,"、國際合作、學術研究，其中名列第三項的「國家安全」是「發展太空科技用於情報搜集、地理監視和通訊安全，從而增強台灣的防衛能力和區域穩定。同時，亦有助於提升我國對抗網路攻擊和其他非傳統安全威脅」，說明了台灣投入經費研發與製造遙測衛星，其中一項很少被關注、只能做不能說的任務。 精細影像堆疊，OSINT可解析軍事動作與戰術 最被大眾熟知與常被使用的遙測影像是Google Earth，彙整多家遙測影像的虛擬地球，便於使用者操作，遙測影像藉由資訊科技的進步，變成人人可及的資訊。現年26歲、就讀台灣師範大學東亞學系碩士班的溫約瑟，22歲時靠著善用這些公開資訊製作出「解放軍基地與設施地圖」一夕爆紅，他所使用的衛星遙測影像就包括Google Earth、歐盟哥白尼（Copernicus）的哨兵（Sentinel）衛星、微軟Bing Maps與Apple Maps等，加上查證所完成──這樣的技術稱為公開來源情報（Open Source Intelligence, OSINT），美國國家情報總監（Director of National Intelligence, DNI）定義為「專門從公開或商業可用資訊中",0.0,data_05.txt
27,9,語意切塊,伊朗政權一向以善於討價還價、立場反覆著稱，美伊之間出現意外「大和解」的可能性，仍然相當不明朗。！？；於是，2026年的這場全國性抗爭，究竟會成為迫使伊朗走向改革與有限開放的契機？；抑或只是下一波更激烈暴力衝突的起點？；在抗爭群眾的憤怒哭喊聲中、以及因鎮壓衝突而燃燒的城市夜色裡，伊朗人仍在混亂的現實之中，試圖找到能改變歷史的關鍵答案。！？；,0.0,data_01.txt
28,10,固定大小,夠能力去解析，才能拼出可能是一隻大象，這些都需要透過不斷地訓練，甚至與科研單位共同合作才能做到，「目前我們軍方對於這方面仍是比較保守，積極度是比較不夠的。」 曾國欣強調，很多人質疑為什麼需要花大錢自製遙測星系？就是要提高衛星再訪的頻率，推疊更多影像，能分析與知道的東西會愈多。他說，中大遙測中心已經做好接收的準備，就等「福衛八號」第一顆「齊柏林衛星」傳回影像。,0.0,data_05.txt
29,10,滑動視窗,會。 2026年，台灣的全民健保進入「兆元時代」，儘管要追趕超高齡人口的速度、高科技和新藥價格的飆漲，仍然吃力，但這個規模已近台灣中央總預算的三分之一，台灣健保投資已追上國民所得相近的國家。我們專訪新任衛福部長石崇良，他開出的首波改革與重整之道，正是對準醫療人力盤點與直美設限，企圖把全民負擔的健保集中火力投在最需要的醫療缺口上，新官上任後的政策支票是否合理，各界可以擴大討論，並且從現在開始，監督可行政策兌現的速度。,0.0,data_03.txt
30,10,語意切塊,圖讓大眾重新看見：醫療的價值與真諦。！？；而守護這個價值的任務，不只是醫師本身、更是全體社會。！？； 2026年，台灣的全民健保進入「兆元時代」，儘管要追趕超高齡人口的速度、高科技和新藥價格的飆漲，仍然吃力，但這個規模已近台灣中央總預算的三分之一，台灣健保投資已追上國民所得相近的國家。！？；我們專訪新任衛福部長石崇良，他開出的首波改革與重整之道，正是對準醫療人力盤點與直美設限，企圖把全民負擔的健保集中火力投在最需要的醫療缺口上，新官上任後的政策支票是否合理，各界可以擴大討論，並且從現在開始，監督可行政策兌現的速度。！？；,0.0,data_03.txt
31,11,固定大小,（攝影／Henry Nicholls／AFP） A：伊朗政府的統治基礎確實被空前動搖，但至今並沒有立即垮台的跡象。 截至1月14日為止，2026年的伊朗反政府示威雖然已明顯重創德黑蘭當局的統治威信，但各地抗爭行動尚不足以直接威脅政權存續，政府權力核心圈也未就鎮壓決策浮現公開的政治分歧。換言之，儘管伊朗政府的統治適任性與正當性正遭遇強烈的社會質疑，短期內出現政權變天的機率仍非常小。 例如，執政高層至今仍團結在伊朗最高領袖哈米尼（Ayatollah Ali Khamenei）周邊，包括伊朗總統裴澤斯基安（Masoud Pezeshkian），以及掌握武力的革命衛隊、警方與正規軍體系，皆持續支持以武力鎮壓示威；目前亦未出現大規模抗命、拒絕執行鎮壓命令，或準備、威脅發動政變的跡象，反而一致將延燒全國的抗爭行動，定性為「境外勢力煽動的恐怖主義行為」。 除了政府仍牢牢掌握武裝力量之外，伊朗國內也缺乏具有足夠號召力的政治反對派。自2009年綠色抗爭以來，伊朗的政治活動空間持續收縮，反對勢力一方面無法透過既有體制有效參政；另一方面，因長期累積民怨而愈發頻繁的社會抗爭，以及隨之而來的強力鎮壓，也反過來成,0.0,data_01.txt
32,11,滑動視窗,"國際社會的高度關注與聲援。伊朗國內絕大多數的官民衝突，多與本次示威起因相似，源自對生活成本飆漲、失業惡化和政府貪腐的不滿。 然而，與過往相比，本次伊朗抗爭的鎮壓暴力升級程度更為駭人。根據《路透社》（Reuters）整合伊朗官員的說法與境外流亡NGO的統計：截至1月13日為止，伊朗各地已知超過2,400多人在鎮壓行動中死亡，其中絕大多數是遭政府部隊射殺的示威者──換言之，這已是自1979年伊斯蘭革命以來，伊朗國內死傷最嚴重的政治暴力事件。 根據一段2026年1月9日至11日間拍攝的影片截圖，伊朗首都德黑蘭郊區卡里札克（Kahrizak）的示威活動遭到鎮壓後，民眾在法醫中心外尋找罹難親友的遺體。（攝影／UGC via AP／達志影像） 根據一段2026年1月9日至11日間拍攝的影片截圖，伊朗首都德黑蘭郊區卡里札克（Kahrizak）的示威活動遭到鎮壓後，民眾在法醫中心外尋找罹難親友的遺體。（攝影／UGC via AP／達志影像） 伊朗政府為了阻斷示威者彼此串聯而切斷全國網路與行動通訊，其封鎖強度更是前所未有。事實上，早在2019年11月的伊朗反油價調漲抗爭期間，伊朗政府就曾實施過「全國斷網",0.0,data_01.txt
33,11,語意切塊,伊朗政權一向以善於討價還價、立場反覆著稱，美伊之間出現意外「大和解」的可能性，仍然相當不明朗。！？；於是，2026年的這場全國性抗爭，究竟會成為迫使伊朗走向改革與有限開放的契機？；抑或只是下一波更激烈暴力衝突的起點？；在抗爭群眾的憤怒哭喊聲中、以及因鎮壓衝突而燃燒的城市夜色裡，伊朗人仍在混亂的現實之中，試圖找到能改變歷史的關鍵答案。！？；,0.0,data_01.txt
34,12,固定大小,術具備穿透雲層的能力，即使在夜晚或厚雲覆蓋下仍能清晰成像，「福衛九號」將與「福衛八號」的光學遙測衛星互補，構建更完整的對地觀測系統，預計於2027年、2029年發射。 從「福衛五號」、「福衛八號」到即將問世的「福衛九號」，台灣正在嘗試在太空中打造自己的視野。當太空產業自主、資料可控，台灣才能在關鍵時刻不仰賴他人，用自己的眼睛，守護自己的天空。,0.0,data_02.txt
35,12,滑動視窗,一種實質的外交工具，平時我們運用衛星影像協助各國進行農業、民生與國土變化的動態判釋；災時，台灣也能憑藉自主、細緻的衛星資源與影像判讀判讀能力，成為資料提供者與分析者，把太空影像轉化為可行動的救災資訊。 「福衛九號」計畫啟動：全天候觀測，追求關鍵畫面不漏接 「福衛八號」預計於2031年前完成星系布建，現已規劃陸續接替「福衛五號」的遙測任務。「福衛八號」最大的特色在於它是台灣第一個以建構自主產業鏈為核心目標打造的衛星星系，從結構材料、推進次系統到光學鏡頭，整體系統84%的關鍵元件、57項核心技術由國內研製完成，幾乎涵蓋了整個衛星製造流程，展示台灣目標打入國際太空產業的決心。 除了持續為台灣進行國土監測與災害應變外，「福衛八號」也將展現在國家安全、科學研究等面向發揮更完整的功能。國家太空中心主任吳宗信舉例，高解析度的影像能用來大面積監測中國海警船等船隻的動態，並與自動識別系統（AIS）資料比對，以偵測那些關閉訊號、從事非法行動的「暗目標」，「甚至我們在影像處理能使用AI去進行監控和預警，搭配起來會對國家安全、經濟活動有戰略保護的功能。」 「福衛八號」的酬載任務，還包括這次「齊柏林衛星」搭載「,0.0,data_02.txt
36,12,語意切塊,福衛八號．任重高飛 用科技實力守護台灣：「福衛八號」升空，有哪些不能言說的國安任務？； 台灣發展衛星計畫，主要分成科學酬載、氣象衛星、遙測衛星三大類，其中遙測衛星已從最早的「福爾摩沙衛星二號」（簡稱「福衛二號」），進入還在服役的「福爾摩沙衛星五號」（簡稱「福衛五號」），以及預計在2025年11月29日發射的「福爾摩沙衛星八號」（簡稱「福衛八號」），它們除了守護台灣之外，其實還有一項重要的國安任務──總統賴清德在出席「福衛八號」起運至美國的典禮中也提到「國家安全」──靠著長期累積的取像，能進行更多情報研析，甚至解讀解放軍的各種軍事動作。！？；這些工作長期以來「只能做不能說」，《報導者》這次專訪國家太空中心（TASA）談起這項國安任務，並訪問軍事專家分析，未來「福衛八號」搭配其他商用衛星，能幫台灣的國家安全做什麼？； 2025年7月，「福衛八號」正在緊鑼密鼓進行各項測試時，《報導者》獲准進入國家太空中心整測廠房採訪。！？；,0.0,data_05.txt
37,13,固定大小,夠能力去解析，才能拼出可能是一隻大象，這些都需要透過不斷地訓練，甚至與科研單位共同合作才能做到，「目前我們軍方對於這方面仍是比較保守，積極度是比較不夠的。」 曾國欣強調，很多人質疑為什麼需要花大錢自製遙測星系？就是要提高衛星再訪的頻率，推疊更多影像，能分析與知道的東西會愈多。他說，中大遙測中心已經做好接收的準備，就等「福衛八號」第一顆「齊柏林衛星」傳回影像。,0.0,data_05.txt
38,13,滑動視窗,像控制與數值地形模型，校準每一張影像的地理坐標，使其能與地圖、地形精準重疊。當山脈的輪廓開始對齊、河流與建築的位置對焦回現實，影像才能用於防災、救災或是地理研究等實際應用情境。 影像處理中心衛星資料處理組組長張莉雪表示，目前與太空中心合作的客戶有超過9成來自政府部門，「福衛五號」所拍攝的影像多數用於國土監測，包含崩塌地或是農業用地的土地利用監測等。當像是馬太鞍溪堰塞湖潰壩這樣的緊急災害事件發生時，衛星影像也可以比對出地表變化。 Made with Flourish • Create a photo slider 當Taiwan Can Help走向太空 除了自家國土監測外，衛星資料也幫助台灣在跨國合作中扮演關鍵角色。我國自2010年加入由日本主導的「守望亞洲（Sentinel Asia）」國際志願計畫，此計畫的目的是希望結合擁有衛星資源與分析量能的單位，當亞太地區發生災害事件時，可以調度衛星進行救災與協作。 舉例來說，2023年菲律賓民都洛近海油輪「MT Princess Empress」沉沒造成大規模漏油汙染，衝擊當地海洋生態。台灣調度「福衛五號」協助產出連續油汙範圍判釋圖，支援汙染,0.0,data_02.txt
